Provincias,Periodo,Total,Sexo,Tipo sexo,Tipo rel,Tipo de divorcio,Tipo separacion,Tipo de separación,Tipo de matrimonio
,2020,1,,mismo,nulidad,,,,Entre personas del mismo sexo
,2019,4,,mismo,nulidad,,,,Entre personas del mismo sexo
,2018,2,,mismo,nulidad,,,,Entre personas del mismo sexo
,2017,0,,mismo,nulidad,,,,Entre personas del mismo sexo
,2016,2,,mismo,nulidad,,,,Entre personas del mismo sexo
,2015,6,,mismo,nulidad,,,,Entre personas del mismo sexo
,2014,0,,mismo,nulidad,,,,Entre personas del mismo sexo
,2013,3,,mismo,nulidad,,,,Entre personas del mismo sexo
,2021,57,,distinto,nulidad,,,,Entre personas de distinto sexo
,2020,39,,distinto,nulidad,,,,Entre personas de distinto sexo
,2019,71,,distinto,nulidad,,,,Entre personas de distinto sexo
,2018,90,,distinto,nulidad,,,,Entre personas de distinto sexo
,2017,100,,distinto,nulidad,,,,Entre personas de distinto sexo
,2016,115,,distinto,nulidad,,,,Entre personas de distinto sexo
,2015,138,,distinto,nulidad,,,,Entre personas de distinto sexo
,2014,113,,distinto,nulidad,,,,Entre personas de distinto sexo
,2013,107,,distinto,nulidad,,,,Entre personas de distinto sexo
