Provincias;Periodo;Total
31 Navarra;2013;10
31 Navarra;2012;18
31 Navarra;2011;13
31 Navarra;2010;20
31 Navarra;2009;15
31 Navarra;2008;19
31 Navarra;2007;12
31 Navarra;2006;13
31 Navarra;2005;2
32 Ourense;2020;5
32 Ourense;2019;6
32 Ourense;2018;6
32 Ourense;2017;5
32 Ourense;2016;6
32 Ourense;2015;5
32 Ourense;2014;2
32 Ourense;2013;""
32 Ourense;2012;1
32 Ourense;2011;1
32 Ourense;2010;2
32 Ourense;2009;5
32 Ourense;2008;2
32 Ourense;2007;""
32 Ourense;2006;2
32 Ourense;2005;""
34 Palencia;2020;2
34 Palencia;2019;4
34 Palencia;2018;2
34 Palencia;2017;4
34 Palencia;2016;4
34 Palencia;2015;1
34 Palencia;2014;""
34 Palencia;2013;2
34 Palencia;2012;3
34 Palencia;2011;3
34 Palencia;2010;2
34 Palencia;2009;""
34 Palencia;2008;""
34 Palencia;2007;1
34 Palencia;2006;1
34 Palencia;2005;""
35 Palmas, Las;2020;63
35 Palmas, Las;2019;122
35 Palmas, Las;2018;103
35 Palmas, Las;2017;86
35 Palmas, Las;2016;95
35 Palmas, Las;2015;86
35 Palmas, Las;2014;67
35 Palmas, Las;2013;69
35 Palmas, Las;2012;57
35 Palmas, Las;2011;57
35 Palmas, Las;2010;41
35 Palmas, Las;2009;43
35 Palmas, Las;2008;50
35 Palmas, Las;2007;41
35 Palmas, Las;2006;53
35 Palmas, Las;2005;10
36 Pontevedra;2020;28
36 Pontevedra;2019;20
36 Pontevedra;2018;19
36 Pontevedra;2017;29
36 Pontevedra;2016;27
36 Pontevedra;2015;17
36 Pontevedra;2014;8
36 Pontevedra;2013;10
36 Pontevedra;2012;10
36 Pontevedra;2011;16
36 Pontevedra;2010;12
36 Pontevedra;2009;10
36 Pontevedra;2008;13
36 Pontevedra;2007;9
36 Pontevedra;2006;12
36 Pontevedra;2005;2
26 Rioja, La;2020;18
26 Rioja, La;2019;15
26 Rioja, La;2018;11
26 Rioja, La;2017;8
26 Rioja, La;2016;9
26 Rioja, La;2015;7
26 Rioja, La;2014;9
26 Rioja, La;2013;5
26 Rioja, La;2012;11
26 Rioja, La;2011;8
26 Rioja, La;2010;5
26 Rioja, La;2009;6
26 Rioja, La;2008;4
26 Rioja, La;2007;2
26 Rioja, La;2006;3
26 Rioja, La;2005;3
37 Salamanca;2020;1
37 Salamanca;2019;12
37 Salamanca;2018;8
37 Salamanca;2017;7
37 Salamanca;2016;7
37 Salamanca;2015;7
37 Salamanca;2014;4
37 Salamanca;2013;9
37 Salamanca;2012;8
37 Salamanca;2011;4
