Provincias;Periodo;Total
38 Santa Cruz de Tenerife;2020;59
38 Santa Cruz de Tenerife;2019;92
38 Santa Cruz de Tenerife;2018;75
38 Santa Cruz de Tenerife;2017;75
38 Santa Cruz de Tenerife;2016;68
38 Santa Cruz de Tenerife;2015;54
38 Santa Cruz de Tenerife;2014;56
38 Santa Cruz de Tenerife;2013;35
38 Santa Cruz de Tenerife;2012;53
38 Santa Cruz de Tenerife;2011;52
38 Santa Cruz de Tenerife;2010;55
38 Santa Cruz de Tenerife;2009;55
38 Santa Cruz de Tenerife;2008;46
38 Santa Cruz de Tenerife;2007;56
38 Santa Cruz de Tenerife;2006;95
38 Santa Cruz de Tenerife;2005;31
40 Segovia;2020;""
40 Segovia;2019;5
40 Segovia;2018;1
40 Segovia;2017;3
40 Segovia;2016;2
40 Segovia;2015;7
40 Segovia;2014;1
40 Segovia;2013;3
40 Segovia;2012;1
40 Segovia;2011;3
40 Segovia;2010;2
40 Segovia;2009;2
40 Segovia;2008;3
40 Segovia;2007;2
40 Segovia;2006;2
40 Segovia;2005;3
41 Sevilla;2020;64
41 Sevilla;2019;107
41 Sevilla;2018;86
41 Sevilla;2017;91
41 Sevilla;2016;81
41 Sevilla;2015;60
41 Sevilla;2014;54
41 Sevilla;2013;61
41 Sevilla;2012;63
41 Sevilla;2011;72
41 Sevilla;2010;59
41 Sevilla;2009;61
41 Sevilla;2008;60
41 Sevilla;2007;94
41 Sevilla;2006;112
41 Sevilla;2005;33
42 Soria;2020;""
42 Soria;2019;5
42 Soria;2018;1
42 Soria;2017;1
42 Soria;2016;2
42 Soria;2015;2
42 Soria;2014;1
42 Soria;2013;1
42 Soria;2012;3
42 Soria;2011;""
42 Soria;2010;1
42 Soria;2009;""
42 Soria;2008;""
42 Soria;2007;1
42 Soria;2006;""
42 Soria;2005;""
43 Tarragona;2020;17
43 Tarragona;2019;33
43 Tarragona;2018;33
43 Tarragona;2017;40
43 Tarragona;2016;36
43 Tarragona;2015;27
43 Tarragona;2014;22
43 Tarragona;2013;31
43 Tarragona;2012;24
43 Tarragona;2011;34
43 Tarragona;2010;40
43 Tarragona;2009;29
43 Tarragona;2008;44
43 Tarragona;2007;34
43 Tarragona;2006;39
43 Tarragona;2005;10
44 Teruel;2020;1
44 Teruel;2019;1
44 Teruel;2018;1
44 Teruel;2017;""
44 Teruel;2016;1
44 Teruel;2015;2
44 Teruel;2014;""
44 Teruel;2013;3
44 Teruel;2012;1
44 Teruel;2011;""
44 Teruel;2010;""
44 Teruel;2009;4
44 Teruel;2008;""
44 Teruel;2007;""
44 Teruel;2006;1
44 Teruel;2005;1
45 Toledo;2020;14
45 Toledo;2019;26
45 Toledo;2018;19
45 Toledo;2017;22
45 Toledo;2016;12
45 Toledo;2015;19
45 Toledo;2014;9
45 Toledo;2013;12
45 Toledo;2012;22
45 Toledo;2011;22
45 Toledo;2010;9
45 Toledo;2009;7
45 Toledo;2008;15
45 Toledo;2007;8
45 Toledo;2006;9
45 Toledo;2005;4
46 Valencia/València;2020;114
46 Valencia/València;2019;150
46 Valencia/València;2018;138
46 Valencia/València;2017;131
46 Valencia/València;2016;137
46 Valencia/València;2015;139
46 Valencia/València;2014;107
46 Valencia/València;2013;95
46 Valencia/València;2012;137
46 Valencia/València;2011;125
46 Valencia/València;2010;93
46 Valencia/València;2009;145
46 Valencia/València;2008;126
46 Valencia/València;2007;158
46 Valencia/València;2006;207
46 Valencia/València;2005;101
47 Valladolid;2020;6
47 Valladolid;2019;20
47 Valladolid;2018;16
47 Valladolid;2017;8
47 Valladolid;2016;12
47 Valladolid;2015;9
47 Valladolid;2014;14
47 Valladolid;2013;8
47 Valladolid;2012;10
47 Valladolid;2011;9
47 Valladolid;2010;9
47 Valladolid;2009;8
47 Valladolid;2008;10
47 Valladolid;2007;6
47 Valladolid;2006;11
47 Valladolid;2005;1
49 Zamora;2020;""
49 Zamora;2019;3
49 Zamora;2018;1
49 Zamora;2017;3
49 Zamora;2016;1
49 Zamora;2015;2
49 Zamora;2014;2
49 Zamora;2013;1
49 Zamora;2012;1
49 Zamora;2011;1
49 Zamora;2010;1
49 Zamora;2009;1
49 Zamora;2008;2
49 Zamora;2007;""
49 Zamora;2006;2
49 Zamora;2005;1
50 Zaragoza;2020;21
50 Zaragoza;2019;32
50 Zaragoza;2018;30
50 Zaragoza;2017;32
50 Zaragoza;2016;25
50 Zaragoza;2015;24
50 Zaragoza;2014;24
50 Zaragoza;2013;21
50 Zaragoza;2012;25
50 Zaragoza;2011;19
50 Zaragoza;2010;17
50 Zaragoza;2009;19
50 Zaragoza;2008;20
50 Zaragoza;2007;22
50 Zaragoza;2006;49
