Provincias;Periodo;Total
09 Burgos;1994;1.538
09 Burgos;1993;1.433
09 Burgos;1992;1.669
09 Burgos;1991;1.594
09 Burgos;1990;1.533
09 Burgos;1989;1.652
09 Burgos;1988;1.663
09 Burgos;1987;1.677
09 Burgos;1986;1.711
09 Burgos;1985;1.682
09 Burgos;1984;1.632
09 Burgos;1983;1.737
09 Burgos;1982;1.597
09 Burgos;1981;1.682
09 Burgos;1980;1.805
09 Burgos;1979;1.902
09 Burgos;1978;2.122
09 Burgos;1977;2.078
09 Burgos;1976;2.007
09 Burgos;1975;2.463
10 Cáceres;2020;552
10 Cáceres;2019;1.112
10 Cáceres;2018;1.110
10 Cáceres;2017;1.159
10 Cáceres;2016;1.274
10 Cáceres;2015;1.172
10 Cáceres;2014;1.138
10 Cáceres;2013;1.066
10 Cáceres;2012;1.192
10 Cáceres;2011;1.143
10 Cáceres;2010;1.167
10 Cáceres;2009;1.346
10 Cáceres;2008;1.481
10 Cáceres;2007;1.527
10 Cáceres;2006;1.588
10 Cáceres;2005;1.537
10 Cáceres;2004;1.678
10 Cáceres;2003;1.677
10 Cáceres;2002;1.631
10 Cáceres;2001;1.673
10 Cáceres;2000;1.926
10 Cáceres;1999;1.854
10 Cáceres;1998;1.818
10 Cáceres;1997;1.827
10 Cáceres;1996;1.795
10 Cáceres;1995;1.749
10 Cáceres;1994;1.920
10 Cáceres;1993;1.945
10 Cáceres;1992;2.165
10 Cáceres;1991;2.125
10 Cáceres;1990;2.246
10 Cáceres;1989;2.270
10 Cáceres;1988;2.313
10 Cáceres;1987;2.499
10 Cáceres;1986;2.476
10 Cáceres;1985;2.318
10 Cáceres;1984;2.467
10 Cáceres;1983;2.411
10 Cáceres;1982;2.356
10 Cáceres;1981;2.459
10 Cáceres;1980;2.511
10 Cáceres;1979;2.649
10 Cáceres;1978;2.519
10 Cáceres;1977;2.542
10 Cáceres;1976;2.345
10 Cáceres;1975;2.252
11 Cádiz;2020;2.408
11 Cádiz;2019;4.900
11 Cádiz;2018;4.446
11 Cádiz;2017;4.708
11 Cádiz;2016;4.703
11 Cádiz;2015;4.573
11 Cádiz;2014;4.251
11 Cádiz;2013;3.911
11 Cádiz;2012;4.383
11 Cádiz;2011;4.054
11 Cádiz;2010;4.263
11 Cádiz;2009;4.635
11 Cádiz;2008;5.587
11 Cádiz;2007;5.892
11 Cádiz;2006;6.253
11 Cádiz;2005;6.728
11 Cádiz;2004;6.779
