Provincias,Periodo,Total,Sexo,id_gen
10 Cáceres,2014,1138,Mujer-Hombre,0
10 Cáceres,2013,1066,Mujer-Hombre,0
10 Cáceres,2012,1192,Mujer-Hombre,0
10 Cáceres,2011,1143,Mujer-Hombre,0
10 Cáceres,2010,1167,Mujer-Hombre,0
10 Cáceres,2009,1346,Mujer-Hombre,0
10 Cáceres,2008,1481,Mujer-Hombre,0
10 Cáceres,2007,1527,Mujer-Hombre,0
10 Cáceres,2006,1588,Mujer-Hombre,0
10 Cáceres,2005,1537,Mujer-Hombre,0
11 Cádiz,2020,2408,Mujer-Hombre,0
11 Cádiz,2019,4900,Mujer-Hombre,0
11 Cádiz,2018,4446,Mujer-Hombre,0
11 Cádiz,2017,4708,Mujer-Hombre,0
11 Cádiz,2016,4703,Mujer-Hombre,0
11 Cádiz,2015,4573,Mujer-Hombre,0
11 Cádiz,2014,4251,Mujer-Hombre,0
11 Cádiz,2013,3911,Mujer-Hombre,0
11 Cádiz,2012,4383,Mujer-Hombre,0
11 Cádiz,2011,4054,Mujer-Hombre,0
11 Cádiz,2010,4263,Mujer-Hombre,0
11 Cádiz,2009,4635,Mujer-Hombre,0
11 Cádiz,2008,5587,Mujer-Hombre,0
11 Cádiz,2007,5892,Mujer-Hombre,0
11 Cádiz,2006,6253,Mujer-Hombre,0
11 Cádiz,2005,6728,Mujer-Hombre,0
39 Cantabria,2020,1111,Mujer-Hombre,0
39 Cantabria,2019,1951,Mujer-Hombre,0
39 Cantabria,2018,2067,Mujer-Hombre,0
39 Cantabria,2017,2079,Mujer-Hombre,0
39 Cantabria,2016,2228,Mujer-Hombre,0
39 Cantabria,2015,2124,Mujer-Hombre,0
39 Cantabria,2014,2069,Mujer-Hombre,0
39 Cantabria,2013,1936,Mujer-Hombre,0
39 Cantabria,2012,2326,Mujer-Hombre,0
39 Cantabria,2011,2184,Mujer-Hombre,0
39 Cantabria,2010,2500,Mujer-Hombre,0
39 Cantabria,2009,2581,Mujer-Hombre,0
39 Cantabria,2008,2936,Mujer-Hombre,0
39 Cantabria,2007,2948,Mujer-Hombre,0
39 Cantabria,2006,2822,Mujer-Hombre,0
39 Cantabria,2005,2876,Mujer-Hombre,0
12 Castellón/Castelló,2020,1123,Mujer-Hombre,0
12 Castellón/Castelló,2019,2029,Mujer-Hombre,0
12 Castellón/Castelló,2018,1892,Mujer-Hombre,0
12 Castellón/Castelló,2017,2022,Mujer-Hombre,0
12 Castellón/Castelló,2016,2007,Mujer-Hombre,0
12 Castellón/Castelló,2015,1992,Mujer-Hombre,0
12 Castellón/Castelló,2014,1922,Mujer-Hombre,0
12 Castellón/Castelló,2013,1763,Mujer-Hombre,0
12 Castellón/Castelló,2012,1880,Mujer-Hombre,0
12 Castellón/Castelló,2011,1805,Mujer-Hombre,0
12 Castellón/Castelló,2010,2037,Mujer-Hombre,0
12 Castellón/Castelló,2009,2135,Mujer-Hombre,0
12 Castellón/Castelló,2008,2484,Mujer-Hombre,0
12 Castellón/Castelló,2007,2695,Mujer-Hombre,0
12 Castellón/Castelló,2006,2638,Mujer-Hombre,0
12 Castellón/Castelló,2005,2708,Mujer-Hombre,0
13 Ciudad Real,2020,654,Mujer-Hombre,0
13 Ciudad Real,2019,1643,Mujer-Hombre,0
13 Ciudad Real,2018,1698,Mujer-Hombre,0
